,topic,N_word,word,prob
0,-1,0,año,0.011716410868916338
1,-1,1,uruguay,0.011331738149078532
2,-1,2,decir,0.010938245337421852
3,-1,3,él,0.010331273683001643
4,-1,4,mvdnoticia,0.009336820012974374
5,-1,5,tras,0.008920016770345278
6,-1,6,nuevo,0.00880111818063869
7,-1,7,nacional,0.008694247862416342
8,-1,8,presidente,0.008509512560078841
9,-1,9,hacer,0.008183331393325206
10,0,0,peñarol,0.0424907322739099
11,0,1,nacional,0.035893056374722496
12,0,2,gol,0.03290309961474287
13,0,3,liverpool,0.03079313225398189
14,0,4,partido,0.027181123944017418
15,0,5,madrid,0.026063025912951752
16,0,6,jugador,0.025156287576718388
17,0,7,darwin,0.02385238490375286
18,0,8,jugar,0.022598608558460517
19,0,9,suarez,0.021684373167119533
20,1,0,ucrania,0.11308780238109736
21,1,1,ruso,0.0942495963716858
22,1,2,rusia,0.08151131280257828
23,1,3,ucraniano,0.052938161668734836
24,1,4,guerra,0.048836462562920464
25,1,5,putin,0.04294006408506161
26,1,6,rusio,0.03832044202100515
27,1,7,ucranio,0.03281309779137898
28,1,8,zelenski,0.029360966783059765
29,1,9,invasion,0.027102150295810954
30,2,0,educacion,0.08271036734442863
31,2,1,educativo,0.06574987460100626
32,2,2,docente,0.06440780686516064
33,2,3,ladiariaeducacion,0.06201363063398737
34,2,4,estudiante,0.038130258968824125
35,2,5,anep,0.037663310914027415
36,2,6,escuela,0.03684188572693668
37,2,7,centro,0.035847128786036964
38,2,8,formacion,0.0320441347749351
39,2,9,liceo,0.025586528569162208
40,3,0,salud,0.06478859522550698
41,3,1,hospital,0.049395525774312506
42,3,2,sanitario,0.03980287614941641
43,3,3,emergencia,0.037336272823803286
44,3,4,medico,0.03609629313471907
45,3,5,asse,0.031505281080399225
46,3,6,paciente,0.03118314620623051
47,3,7,medicamento,0.027567032626612847
48,3,8,covid,0.02539329162089773
49,3,9,ladiariasalud,0.023311929136019816
50,4,0,temperatura,0.10697331962066531
51,4,1,ºc,0.08124259391645931
52,4,2,viento,0.08003404518928796
53,4,3,inumet,0.07209333185360094
54,4,4,pronostico,0.06835599780136545
55,4,5,humedad,0.06461258663203685
56,4,6,kmh,0.06448989927717312
57,4,7,lluvia,0.06395377423860456
58,4,8,tiempo,0.06313288160076916
59,4,9,atmosferico,0.06240704024630284
60,5,0,sindicato,0.07541724843507264
61,5,1,trabajador,0.07472283201857043
62,5,2,salarial,0.05275778708471377
63,5,3,paro,0.05065023617549334
64,5,4,lacteo,0.049947786841897025
65,5,5,salario,0.04589937978601066
66,5,6,conflicto,0.03787331289985172
67,5,7,sindical,0.036158337333031
68,5,8,laboral,0.03195675114384435
69,5,9,industrio,0.030716075686342204
70,6,0,tema,0.2277798476468964
71,6,1,contratapa,0.1989148138326066
72,6,2,titular,0.19816922390060457
73,6,3,uypress,0.19466361143253552
74,6,4,cultural,0.1843930504998209
75,6,5,digital,0.18196289625223563
76,6,6,plataforma,0.1764075169494498
77,6,7,edicion,0.16786489453100478
78,6,8,canalnoticia,0.1465270313999232
79,6,9,principal,0.087116431143685
80,7,0,referendum,0.10492514472506859
81,7,1,voto,0.09687410345846942
82,7,2,elección,0.05480088746248907
83,7,3,colombia,0.0507714104431884
84,7,4,macron,0.048562173959373206
85,7,5,electoral,0.0457501327793433
86,7,6,petro,0.042474846887086234
87,7,7,luc,0.03926738355875419
88,7,8,votar,0.038491301598955134
89,7,9,francia,0.03645787471803712
90,8,0,chino,0.17951818008149098
91,8,1,tlc,0.09086200148602375
92,8,2,taiwan,0.06543384540875566
93,8,3,canciller,0.049910324432595396
94,8,4,turco,0.037445117309451874
95,8,5,turquia,0.03700664612700128
96,8,6,china,0.03420911272736227
97,8,7,mercosur,0.03393316376979995
98,8,8,comercio,0.03290046184903446
99,8,9,gesto,0.031192298200264715
100,9,0,vacunacion,0.16115516734418067
101,9,1,covid,0.09129174435893016
102,9,2,vacuna,0.08723367067427208
103,9,3,anticovid,0.06664732780418847
104,9,4,vacuno,0.06652227271451887
105,9,5,fallo,0.05890176649697861
106,9,6,recarey,0.058322016938130404
107,9,7,juez,0.05768578082205464
108,9,8,menor,0.046599290724506984
109,9,9,niños,0.04502698326066597
110,10,0,netflix,0.13086169290190558
111,10,1,pelicula,0.08837057768257887
112,10,2,serie,0.06457498792891433
113,10,3,cine,0.06100695106287569
114,10,4,depp,0.05308736649084775
115,10,5,heard,0.049082862595100155
116,10,6,johnny,0.048883947278045854
117,10,7,amber,0.04549007902710132
118,10,8,pelicular,0.03851462050636957
119,10,9,estreno,0.031863978834643675
120,11,0,sexual,0.1718903067575737
121,11,1,abuso,0.0853250823865346
122,11,2,iglesia,0.061026421651169484
123,11,3,fiscal,0.057500522579062116
124,11,4,delito,0.04949430963616048
125,11,5,raul,0.04021476849938393
126,11,6,denuncia,0.039935794372012466
127,11,7,violacion,0.03623509931369232
128,11,8,año,0.03491590716692325
129,11,9,acoso,0.03208083257594921
130,12,0,hombre,0.08669201693935964
131,12,1,homicidio,0.07705604876295175
132,12,2,año,0.05135017311117237
133,12,3,investigar,0.0384917080231591
134,12,4,policia,0.037783872626601926
135,12,5,mujer,0.03716891003264765
136,12,6,cuerpo,0.03489600181377037
137,12,7,dos,0.03403537726087261
138,12,8,mato,0.03338025027737286
139,12,9,muerte,0.03206954894308965
140,13,0,caso,0.16429543635020033
141,13,1,mono,0.1551583352377772
142,13,2,viruelar,0.1494653372959195
143,13,3,coronavirus,0.06231299208311297
144,13,4,coronaviru,0.062205577624556925
145,13,5,nuevo,0.05878366686097149
146,13,6,salud,0.05612097331122954
147,13,7,fallecido,0.055129100243946724
148,13,8,semanal,0.05259686853897072
149,13,9,hepatitis,0.051194097562953435
150,14,0,natie,0.054120483903099946
151,14,1,katoen,0.05340273541628506
152,14,2,puerto,0.04889582345894705
153,14,3,portuario,0.03952185837486472
154,14,4,montecon,0.03284553969794804
155,14,5,sindicato,0.025513389695813765
156,14,6,gobierno,0.0252517524071449
157,14,7,acuerdo,0.02509280042068464
158,14,8,paro,0.02095484493036929
159,14,9,empresa,0.020587237494130536
160,15,0,reforma,0.15929801497602958
161,15,1,seguridad,0.11548166152372703
162,15,2,social,0.11334909603287947
163,15,3,jubilatorio,0.07627588458484541
164,15,4,anteproyecto,0.04760161474476106
165,15,5,jubilado,0.04048367967299909
166,15,6,edad,0.03395064650726919
167,15,7,jubilación,0.03306773915541219
168,15,8,lacalle,0.03290593883514247
169,15,9,aumento,0.031002743669415002
170,16,0,teatro,0.07417771111530247
171,16,1,argentino,0.057726463967735515
172,16,2,will,0.051618362823682165
173,16,3,smith,0.050798422532180844
174,16,4,rock,0.044011888107698356
175,16,5,oscar,0.037667753011711935
176,16,6,chris,0.034475395894850776
177,16,7,cantante,0.03284788426439978
178,16,8,musico,0.032376915795665547
179,16,9,masterchef,0.03114469101575111
180,17,0,canal,0.26668394785105803
181,17,1,tv,0.24443763101952742
182,17,2,abierto,0.1823256263312805
183,17,3,direct,0.15893806808936237
184,17,4,cable,0.15448249905680916
185,17,5,vera,0.153475746469468
186,17,6,edicion,0.15216575431815646
187,17,7,web,0.1516029922213829
188,17,8,disponible,0.14717215912809822
189,17,9,simultaneo,0.1401157373806884
190,18,0,droga,0.09588934230819854
191,18,1,narcotrafico,0.06428325581039389
192,18,2,condenado,0.06282762961764791
193,18,3,kilo,0.053925605191978865
194,18,4,cocaín,0.05121312702842651
195,18,5,cocaina,0.04292577614155605
196,18,6,allanamiento,0.039570284173908975
197,18,7,detenido,0.03901259895005432
198,18,8,prision,0.037704501125508556
199,18,9,policia,0.03662193275400506
200,19,0,avion,0.2325819214774762
201,19,1,venezolano,0.116158751277641
202,19,2,irani,0.08073599811203719
203,19,3,aeropuerto,0.07563692725787073
204,19,4,vuelo,0.061408478844693894
205,19,5,aereo,0.05798621031316927
206,19,6,retenido,0.048369893749346915
207,19,7,argentino,0.04703665150708636
208,19,8,venezolanoirani,0.04296565920745266
209,19,9,piloto,0.03300477397915912
210,20,0,portado,0.4320921884257942
211,20,1,hoy,0.212136246701784
212,20,2,suplementocultura,0.21116849559693346
213,20,3,ladiariafindesemán,0.08173337543015607
214,20,4,suplemento,0.07837129786079318
215,20,5,compartir,0.0753046557329678
216,20,6,editorial,0.070497316170116
217,20,7,mirada,0.038564361406206754
218,20,8,abril,0.03565866641946664
219,20,9,julio,0.030988410222627244
220,21,0,él,0.019083487198515374
221,21,1,suarez,0.018178787379487256
222,21,2,querer,0.01800721379776839
223,21,3,situacion,0.016497340232373685
224,21,4,luis,0.015709974663486104
225,21,5,municipio,0.014193835921616346
226,21,6,mvdnoticia,0.014114344494817882
227,21,7,clasico,0.013848505761166502
228,21,8,primero,0.01352473548535364
229,21,9,casa,0.01322135015950143
230,22,0,musico,0.13572708504710634
231,22,1,disco,0.05738806741148383
232,22,2,musical,0.04526938636016157
233,22,3,concierto,0.03934527296410414
234,22,4,cantante,0.03580117956810149
235,22,5,banda,0.03535102308915952
236,22,6,show,0.03407838936665466
237,22,7,canción,0.027565174080784828
238,22,8,presentar,0.027306403297388357
239,22,9,orquesta,0.026720368551110922
240,23,0,rutar,0.10173554295195822
241,23,1,accidente,0.08021785660884918
242,23,2,camioneta,0.07679441186870045
243,23,3,transito,0.07144888592831802
244,23,4,fallecio,0.06353620529101243
245,23,5,herido,0.06059139515401761
246,23,6,motociclista,0.06038842452508051
247,23,7,camion,0.060127424152658406
248,23,8,tras,0.05328007779454525
249,23,9,auto,0.04969790917920585
250,24,0,turismo,0.26966053936549006
251,24,1,turista,0.07292518968039315
252,24,2,semana,0.052727504592662656
253,24,3,turistico,0.05201161954494077
254,24,4,ministerio,0.04065988878237927
255,24,5,vacación,0.03665001801243591
256,24,6,cardoso,0.03619899777254038
257,24,7,argentino,0.03295752355786721
258,24,8,viaje,0.028573573830754904
259,24,9,gestion,0.026003143709892144
